story_id,area,priority,precondition,action,expected,observed,status,bug_id,evidence,updated_at
US-001,boot,P0,"Fresh browser storage","Open wallet","Loading state is visible then wallet reaches one ready or actionable state","Wallet reaches Buy credits and Wallet synchronized.",passed,,"e2e/v0-storage-isolation.spec.ts",2026-08-15
US-002,boot,P1,"Wallet authority already exists","Reload wallet","Previous balance and sync state return without conflicting empty state","Asus returned US$ 1,00 and Wallet synchronized after reload.",passed,,"/tmp/ui-wallet-relay-fixed.xml; /tmp/ui-after-buy-update.xml",2026-08-15
US-003,pairing,P0,"Configured wallet is open","Open Sync devices and create QR","One encrypted QR appears quickly and contains no plaintext secrets","Verified on Asus QR payload; no mnemonic, sync_secret, ciphertext, or passphrase.",passed,BUG-001,"/tmp/webcam-qr-full.png; /tmp/qr-decode.json",2026-08-15
US-004,pairing,P0,"Phone opens a URL containing quick_pair","Open the URL","Specific pairing screen shows progress and does not offer create-another-QR controls","Dedicated Pairing wallet screen shown; malformed payload remains recoverable without create controls.",passed,BUG-004,"/tmp/asus-incoming-pairing-error.png; /tmp/ui-incoming-pairing-error.xml",2026-08-15
US-005,pairing,P0,"Joining phone is empty and has a valid quick_pair","Open or scan the QR","Authority imports and wallet synchronizes automatically","Local and public Playwright runs paired isolated Device B from one URL and showed Wallets paired.",passed,,"tests/e2e/auto-pairing.spec.ts; tests/e2e/deployed-auto-pairing.spec.ts",2026-08-15
US-006,pairing,P1,"Joining phone has local wallet data","Open a valid quick_pair and cancel replacement","Original wallet remains unchanged and user gets a clear next action","Playwright showed Replace this wallet?; Cancel preserved US$1.",passed,,"tests/e2e/auto-pairing.spec.ts",2026-08-15
US-007,pairing,P0,"QR is malformed or expired","Open or scan it","Failure is explicit, recoverable, and does not alter wallet data","Invalid payload showed Pairing needs attention and Back to wallet.",passed,,"/tmp/ui-incoming-pairing-error.xml",2026-08-15
US-008,topup,P0,"Wallet is synchronized and mint is reachable","Enter amount and request purchase","One loading state leads to an invoice or actionable error without duplicate requests","Asus generated a US$1 invoice through the public Fly mint; wrong relay setup also showed an actionable wallet sync error.",passed,BUG-002,"/tmp/asus-buy-relay-fixed.png; /tmp/asus-public-invoice.png; /tmp/ui-buy-relay-fixed.xml",2026-08-15
US-009,topup,P0,"Purchase invoice is paid","Return to wallet","Local balance and history update and no stale balance is shown","Asus showed public US$ 1,00 and returned to the wallet with the configured mint.",passed,,"/tmp/asus-public-after-claim.png; /tmp/ui-after-buy-update.xml",2026-08-15
US-010,sync,P0,"Two wallets are paired","Change balance on one wallet","Other wallet converges automatically and visibly","Before fix Device B stayed Pending; after fix the full pairing and mint/sync test passed.",passed,BUG-005,"tests/e2e/auto-pairing.spec.ts; v0WalletService.test.ts",2026-08-15
